Marker-ID,Bin-ID,Representive
MN3_9547648,236,236
MN5_26877341,237,237
FLC_2775,238,238
PIE1_1867,239,239
MN5_19503546,240,240
CRY2_1021,241,241
MN5_5005750,242,242
RGL2_3396,243,243
MASC02787,244,244
MN1_17181992,245,245
MASC03269,246,246
AGL24_2913,247,247
NMSNP5-9105484,248,248
MN1_26278413,249,249
MASC04986,250,250
ELF5_3032,251,251
MN3_22843506,252,252
MN4_15087653,253,253
MN3_4470311,254,254
CDF1_2448,255,255
RGA_2019,256,256
MN5_428961,257,257
MN3_8190264,258,258
MN3_8828575,259,259
MASC04531,260,260
MASC01063,261,261
MN1_4569396,262,262
SLY1_2145,263,263
PHYB_1645,264,264
MN3_9279089,265,265
FT_585,266,266
AXR1_381,267,267
FKF1_2281,268,268
MFT_113,269,269
NMSNP5-18258766,270,270
MN2_13201786,271,271
MN1_592863,272,272
MN1_11655695,273,273
MN1_25487722,274,274
MN1_30116495,275,275
FLK_2200,276,276
HOS1_1788,277,277
MASC04053,278,278
MN4_11579839,279,279
MN2_592845,280,280
MN1_2696683,281,281
MN3_16176877,282,282
MN3_23260905,283,283
MN1_19519292,284,284
MN4_15865150,285,285
MASC00513,286,286
MN2_14583090,287,287
MN5_1154885,288,288
PHYE_2771,289,289
FDP_354,290,290
FRI_725,291,291
MASC02770,292,292
MASC03109,293,293
MN1_22354107,294,294
MN1_3398242,295,295
GAr3_1381,296,296
NMSNP5-476785,297,297
PERL0235052,298,298
REV_596,299,299
NMSNP3-21989468,300,300
MN5_3281887,301,301
MASC00564,302,302
MN4_48812OK,303,303
MASC00545,304,304
RGL2_617,305,305
MN2_17844494,306,306
SAR1_280,307,307
MN2_17606148,308,308
MASC03684,309,309
MN1_30312683,310,310
MN5_18166799,311,311
MASC01137,312,312
MASC04642,313,313
MN5_20021652,314,314
MN4_12326350,315,315
PERL0600049,316,316
MN1_3941311,317,317
MN1_5669326,318,318
MN1_2991816,319,319
NMSNP1-6941245,320,320
MN5_2707605,321,321
BFT_297,322,322
MN1_18632912,323,323
CDF1_696,324,324
MASC05434,325,325
MN2_14406873,326,326
MAX2_67,327,327
MN5_4010649,328,328
MN5_6523351,329,329
MASC02650,330,330
MASC05584,331,331
MN5_19415082,332,332
NMSNP4-270272,333,333
MP_68,334,334
MASC03754,335,335
MN1_23474588,336,336
ELF5_1789,337,337
MASC07354,338,338
SPS1_151,339,339
MASC00122,340,340
MN3_15880080,341,341
MASC03263,342,342
MASC00542,343,343
FLC_7207,344,344
GI_5292,345,345
MN1_26993261,346,346
GA1_8429,347,347
ESD4_1150,348,348
MN3_17767232,349,349
MASC00490,350,350
MN5_3498141,351,351
MASC07250,352,352
MN2_10566684,353,353
MN5_19124078,354,354
MASC07297,355,355
MASC09216,356,356
MN2_18402190,357,357
NMSNP5-6222282,358,358
MN1_26795231,359,359
MN1_112907,360,360
VIN3_300,361,361
NMSNP3-15028196,362,362
MN1_10841443,363,363
MN1_1602026,364,364
MFT_3459,365,365
MN1_444820,366,366
NMSNP4-17038400,367,367
SPY_1453,368,368
MASC07384,369,369
MN3_1803905,370,370
MN1_28666837,371,371
MN5_23413242,372,372
VIN3L_4569,373,373
NMSNP4-9377790,374,374
MASC04749,375,375
MASC02568,376,376
MASC07284,377,377
MASC02321,378,378
MN5_4820535,379,379
MASC04031,380,380
NMSNP3-18980664,381,381
NMSNP3-16553703,382,382
MN2_286127,383,383
MN1_197787,384,384
ESD4_1925,385,385
MN5_26220737,386,386
NMSNP1-29898175,387,387
MN5_7004457,388,388
NMSNP5-13614560,389,389
